rank,player,nation,position,team,league,age,birth_year,matches_played,starts,minutes,nineties_played,goals,assists,goals_assists,goals_no_pk,penalties_scored,penalties_attempted,yellow_cards,red_cards,goals_assists_no_pk,gk_goals_against,gk_goals_against_90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_draws,gk_losses,gk_clean_sheets,gk_clean_sheet_pct,gk_pk_against,gk_pk_saved,gk_pk_missed,shots,shots_on_target,shots_on_target_pct,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,minutes_per_match,minutes_pct,minutes_per_start,complete_matches,substitutions_in,minutes_per_sub,unused_sub,points_per_match,team_goals_on_pitch,team_goals_against_on_pitch,goal_diff_on_pitch,goal_diff_per_90,on_off,second_yellow,fouls_committed,fouls_drawn,offsides,crosses,interceptions,tackles_won,own_goals,position_primary,goals_per_90,assists_per_90,g_a_per_90,fouls_comm_per_90,fouls_drawn_per_90,interceptions_per_90,tackles_won_per_90,crosses_per_90
1272,Karl-Johan Johnsson,SE SWE,GK,Strasbourg,Ligue 1,36.0,1990.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.0,2.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,90,2.9,90.0,1,0,,25,3.0,1,0,1,1.0,0.7,0,0,0,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1273,Sam Johnstone,ENG ENG,GK,Wolves,Premier League,33.0,1993.0,12,12,1080,12.0,0,0,0,0,0,0,0,0,0.0,24.0,2.0,62.0,39.0,62.9,0.0,2.0,10.0,0.0,0.0,1.0,0.0,0.0,0,0,,0.0,0.0,,,90,31.6,90.0,12,0,,18,0.17,6,24,-18,-1.5,-0.62,0,0,0,0,0,0,1,1,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0
1285,Luiz Lúcio Reis Júnior,BR BRA,GK,Villarreal,La Liga,25.0,2001.0,28,28,2520,28.0,0,0,0,0,0,0,3,0,0.0,30.0,1.07,96.0,72.0,74.0,18.0,3.0,7.0,8.0,28.6,5.0,1.0,0.0,0,0,,0.0,0.0,,,90,73.7,90.0,28,0,,10,2.04,51,30,21,0.75,0.25,0,2,4,0,0,1,0,0,GK,0.0,0.0,0.0,0.07142857142857142,0.14285714285714285,0.03571428571428571,0.0,0.0
1292,Filip Jørgensen,DK DEN,GK,Chelsea,Premier League,24.0,2002.0,5,3,379,4.2,0,0,0,0,0,0,0,0,0.0,5.0,1.19,13.0,8.0,61.5,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,76,11.1,90.0,3,2,55.0,23,1.0,8,5,3,0.71,0.62,0,0,0,0,0,1,0,0,GK,0.0,0.0,0.0,0.0,0.0,0.23809523809523808,0.0,0.0
1311,Bingourou Kamara,SN SEN,GK,Lorient,Ligue 1,29.0,1996.0,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,8.0,2.67,16.0,8.0,50.0,1.0,0.0,2.0,1.0,33.3,0.0,0.0,1.0,0,0,,0.0,0.0,,,90,8.8,90.0,3,0,,30,1.0,5,8,-3,-1.0,-1.0,0,0,1,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
1344,Caoimhín Kelleher,IE IRL,GK,Brentford,Premier League,27.0,1998.0,37,37,3330,37.0,0,0,0,0,0,0,1,0,0.0,49.0,1.32,146.0,105.0,69.9,13.0,11.0,13.0,10.0,27.0,5.0,3.0,0.0,0,0,,0.0,0.0,,,90,97.4,90.0,37,0,,0,1.35,51,49,2,0.05,-0.95,0,3,6,0,0,1,0,0,GK,0.0,0.0,0.0,0.08108108108108109,0.16216216216216217,0.02702702702702703,0.0,0.0
1363,Antonín Kinský,CZ CZE,GK,Tottenham Hotspur,Premier League,23.0,2003.0,7,7,630,7.0,0,0,0,0,0,0,1,0,0.0,7.0,1.0,16.0,10.0,62.5,3.0,2.0,2.0,2.0,28.6,1.0,0.0,0.0,0,0,,0.0,0.0,,,90,18.4,90.0,7,0,,30,1.57,8,7,1,0.14,0.47,0,0,1,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0
1364,Carl Klaus,DE GER,GK,Union Berlin,Bundesliga,32.0,1994.0,4,3,330,3.7,0,0,0,0,0,0,0,0,0.0,4.0,1.09,13.0,9.0,69.2,2.0,1.0,0.0,1.0,33.3,0.0,0.0,0.0,0,0,,0.0,0.0,,,83,10.8,90.0,3,1,60.0,6,1.75,10,4,6,1.64,2.3,0,0,0,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1371,Gregor Kobel,CH SUI,GK,Dortmund,Bundesliga,28.0,1997.0,34,34,3060,34.0,0,0,0,0,0,0,3,0,0.0,34.0,1.0,117.0,88.0,75.2,22.0,7.0,5.0,15.0,44.1,5.0,0.0,0.0,0,0,,0.0,0.0,,,90,100.0,90.0,34,0,,0,2.15,70,34,36,1.06,,0,0,5,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.14705882352941177,0.0,0.0,0.0
1374,Hervé Koffi,BF BFA,GK,Angers,Ligue 1,29.0,1996.0,30,30,2658,29.5,0,0,0,0,0,0,1,0,0.0,36.0,1.22,152.0,120.0,78.3,9.0,9.0,12.0,10.0,33.3,3.0,2.0,1.0,0,0,,0.0,0.0,,,89,86.9,89.0,29,0,,0,1.2,25,36,-11,-0.37,1.42,0,1,11,0,0,0,2,0,GK,0.0,0.0,0.0,0.03389830508474576,0.3728813559322034,0.0,0.06779661016949153,0.0
