rank,player,nation,position,team,league,age,birth_year,matches_played,starts,minutes,nineties_played,goals,assists,goals_assists,goals_no_pk,penalties_scored,penalties_attempted,yellow_cards,red_cards,goals_assists_no_pk,gk_goals_against,gk_goals_against_90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_draws,gk_losses,gk_clean_sheets,gk_clean_sheet_pct,gk_pk_against,gk_pk_saved,gk_pk_missed,shots,shots_on_target,shots_on_target_pct,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,minutes_per_match,minutes_pct,minutes_per_start,complete_matches,substitutions_in,minutes_per_sub,unused_sub,points_per_match,team_goals_on_pitch,team_goals_against_on_pitch,goal_diff_on_pitch,goal_diff_per_90,on_off,second_yellow,fouls_committed,fouls_drawn,offsides,crosses,interceptions,tackles_won,own_goals,position_primary,goals_per_90,assists_per_90,g_a_per_90,fouls_comm_per_90,fouls_drawn_per_90,interceptions_per_90,tackles_won_per_90,crosses_per_90
1788,Horaţiu Moldovan,RO ROU,GK,Oviedo,La Liga,28.0,1998.0,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,4.0,2.0,8.0,4.0,50.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,90,5.3,90.0,2,0,,36,0.0,0,4,-4,-2.0,-1.17,0,0,0,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1795,Lorenzo Montipò,IT ITA,GK,Hellas Verona,Serie A,30.0,1996.0,35,35,3150,35.0,0,1,1,0,0,0,0,0,0.03,54.0,1.54,137.0,87.0,62.0,3.0,11.0,21.0,5.0,14.3,2.0,3.0,0.0,0,0,,0.0,0.0,,,90,92.1,90.0,35,0,,3,0.57,24,54,-30,-0.86,1.14,0,0,8,0,0,0,0,0,GK,0.0,0.02857142857142857,0.02857142857142857,0.0,0.22857142857142856,0.0,0.0,0.0
1822,Edoardo Motta,IT ITA,GK,Lazio,Serie A,21.0,2005.0,9,9,810,9.0,0,0,0,0,0,0,1,0,0.0,10.0,1.11,31.0,22.0,67.7,5.0,2.0,2.0,3.0,33.3,0.0,1.0,0.0,0,0,,0.0,0.0,,,90,23.7,90.0,9,0,,5,1.89,13,10,3,0.33,0.4,0,1,1,0,0,0,0,0,GK,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0
1828,Lionel Mpasi,CD COD,GK,Le Havre,Ligue 1,31.0,1994.0,4,3,315,3.5,0,0,0,0,0,0,1,0,0.0,2.0,0.57,17.0,15.0,88.2,0.0,2.0,1.0,1.0,33.3,0.0,0.0,0.0,0,0,,0.0,0.0,,,79,10.3,90.0,3,1,45.0,28,1.25,2,2,0,0.0,0.39,0,0,1,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0
1846,Arijanet Muric,XK KVX,GK,Sassuolo,Serie A,27.0,1998.0,32,32,2880,32.0,0,0,0,0,0,0,4,0,0.0,43.0,1.34,155.0,118.0,75.5,12.0,6.0,14.0,6.0,18.8,5.0,1.0,0.0,0,0,,0.0,0.0,,,90,84.2,90.0,32,0,,6,1.31,40,43,-3,-0.09,0.07,0,1,3,0,0,0,0,0,GK,0.0,0.0,0.0,0.03125,0.09375,0.0,0.0,0.0
1855,Juan Musso,AR ARG,GK,Atlético Madrid,La Liga,32.0,1994.0,8,8,720,8.0,0,0,0,0,0,0,2,0,0.0,13.0,1.62,32.0,22.0,68.8,4.0,0.0,4.0,3.0,37.5,3.0,0.0,0.0,0,0,,0.0,0.0,,,90,21.1,90.0,8,0,,28,1.5,11,13,-2,-0.25,-0.92,0,1,3,0,0,0,0,0,GK,0.0,0.0,0.0,0.125,0.375,0.0,0.0,0.0
1857,Yvon Mvogo,CH SUI,GK,Lorient,Ligue 1,31.0,1994.0,31,31,2790,31.0,0,0,0,0,0,0,0,0,0.0,43.0,1.39,115.0,76.0,66.1,10.0,12.0,9.0,6.0,19.4,4.0,0.0,1.0,0,0,,0.0,0.0,,,90,91.2,90.0,31,0,,0,1.35,43,43,0,0.0,1.0,0,0,4,0,0,1,1,0,GK,0.0,0.0,0.0,0.0,0.12903225806451613,0.03225806451612903,0.03225806451612903,0.0
1902,Manuel Neuer,DE GER,GK,Bayern Munich,Bundesliga,40.0,1986.0,22,22,1859,20.7,0,0,0,0,0,0,0,0,0.0,20.0,0.97,50.0,31.0,62.0,19.0,3.0,0.0,7.0,31.8,1.0,0.0,0.0,0,0,,0.0,0.0,,,85,60.8,85.0,19,0,,7,2.73,81,20,61,2.95,1.08,0,0,2,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.0966183574879227,0.0,0.0,0.0
1922,Moritz Nicolas,DE GER,GK,Gladbach,Bundesliga,28.0,1997.0,34,34,3060,34.0,0,0,0,0,0,0,1,0,0.0,53.0,1.56,184.0,136.0,73.9,9.0,11.0,14.0,13.0,38.2,5.0,0.0,0.0,0,0,,0.0,0.0,,,90,100.0,90.0,34,0,,0,1.12,42,53,-11,-0.32,,0,0,3,0,0,0,1,0,GK,0.0,0.0,0.0,0.0,0.08823529411764706,0.0,0.029411764705882353,0.0
1929,Obed Nkambadio,FR FRA,GK,Paris FC,Ligue 1,23.0,2003.0,12,12,1080,12.0,0,0,0,0,0,0,0,0,0.0,21.0,1.75,44.0,26.0,56.8,3.0,3.0,6.0,1.0,8.3,2.0,1.0,1.0,0,0,,0.0,0.0,,,90,35.3,90.0,12,0,,21,1.0,18,21,-3,-0.25,-0.25,0,0,0,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1945,Alexander Nübel,DE GER,GK,Stuttgart,Bundesliga,29.0,1996.0,34,34,3060,34.0,0,1,1,0,0,0,0,0,0.03,49.0,1.44,147.0,107.0,72.8,18.0,8.0,8.0,11.0,32.4,9.0,1.0,0.0,0,0,,0.0,0.0,,,90,100.0,90.0,34,0,,0,1.82,71,49,22,0.65,,0,1,7,0,0,1,0,0,GK,0.0,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.20588235294117646,0.029411764705882353,0.0,0.0
1955,Ørjan Nyland,NO NOR,GK,Sevilla,La Liga,35.0,1990.0,5,5,450,5.0,0,0,0,0,0,0,1,0,0.0,8.0,1.6,18.0,11.0,61.1,1.0,1.0,3.0,1.0,20.0,1.0,0.0,0.0,0,0,,0.0,0.0,,,90,13.2,90.0,5,0,,32,0.8,7,8,-1,-0.2,0.19,0,0,0,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1967,Jan Oblak,SI SVN,GK,Atlético Madrid,La Liga,33.0,1993.0,30,30,2700,30.0,0,0,0,0,0,0,0,0,0.0,31.0,1.03,104.0,75.0,72.1,17.0,6.0,7.0,11.0,36.7,2.0,0.0,1.0,0,0,,0.0,0.0,,,90,78.9,90.0,30,0,,3,1.9,51,31,20,0.67,0.92,0,0,4,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0
1983,Maduka Okoye,NG NGA,GK,Udinese,Serie A,26.0,1999.0,30,30,2616,29.1,0,0,0,0,0,0,1,1,0.0,37.0,1.27,111.0,80.0,71.2,12.0,5.0,13.0,10.0,33.3,5.0,1.0,0.0,0,0,,0.0,0.0,,,87,76.5,87.0,29,0,,1,1.37,37,32,5,0.17,1.07,0,2,4,0,0,0,0,0,GK,0.0,0.0,0.0,0.06872852233676975,0.1374570446735395,0.0,0.0,0.0
2010,Stefan Ortega,DE GER,GK,Nottingham Forest,Premier League,33.0,1992.0,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,4.0,1.33,12.0,8.0,66.7,0.0,1.0,2.0,1.0,33.3,0.0,0.0,0.0,0,0,,0.0,0.0,,,90,7.9,90.0,3,0,,8,0.33,1,4,-3,-1.0,-1.0,0,0,0,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2031,Berke Özer,TR TUR,GK,Lille,Ligue 1,26.0,2000.0,32,32,2834,31.5,0,1,1,0,0,0,5,0,0.03,34.0,1.08,103.0,70.0,68.0,18.0,7.0,7.0,13.0,40.6,1.0,1.0,1.0,0,0,,0.0,0.0,,,89,92.6,89.0,31,0,,0,1.91,50,34,16,0.51,0.91,0,0,13,0,0,0,2,0,GK,0.0,0.031746031746031744,0.031746031746031744,0.0,0.4126984126984127,0.0,0.06349206349206349,0.0
2037,Daniele Padelli,IT ITA,GK,Udinese,Serie A,40.0,1985.0,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,2.0,1.0,4.0,3.0,75.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,,0.0,0.0,,,90,5.3,90.0,2,0,,33,0.5,1,2,-1,-0.5,-0.44,0,0,0,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2038,Alex Padilla,ES ESP,GK,Athletic Club,La Liga,22.0,2003.0,1,1,90,1.0,0,0,0,0,0,0,0,1,0.0,4.0,4.0,8.0,4.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,90,2.6,90.0,1,0,,33,1.5,4,4,0,0.0,0.41,0,0,0,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2045,Alberto Paleari,IT ITA,GK,Torino,Serie A,33.0,1992.0,29,29,2610,29.0,0,0,0,0,0,0,1,0,0.0,45.0,1.55,125.0,82.0,65.6,10.0,7.0,12.0,9.0,31.0,2.0,0.0,0.0,0,0,,0.0,0.0,,,90,76.3,90.0,29,0,,9,1.28,35,45,-10,-0.34,0.66,0,0,7,0,0,1,0,0,GK,0.0,0.0,0.0,0.0,0.2413793103448276,0.034482758620689655,0.0,0.0
2087,Iñaki Peña,ES ESP,GK,Elche,La Liga,27.0,1999.0,16,16,1440,16.0,0,0,0,0,0,0,0,0,0.0,28.0,1.75,81.0,55.0,67.9,3.0,4.0,9.0,4.0,25.0,2.0,0.0,0.0,0,0,,0.0,0.0,,,90,42.1,90.0,16,0,,20,0.81,21,28,-7,-0.44,-0.39,0,0,1,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0
2088,Mike Penders,BE BEL,GK,Strasbourg,Ligue 1,20.0,2005.0,33,33,2970,33.0,0,0,0,0,0,0,3,0,0.0,47.0,1.42,149.0,107.0,71.1,14.0,8.0,11.0,8.0,24.2,4.0,1.0,0.0,0,0,,0.0,0.0,,,90,97.1,90.0,33,0,,0,1.52,57,47,10,0.3,-0.7,0,1,2,0,0,0,0,0,GK,0.0,0.0,0.0,0.030303030303030304,0.06060606060606061,0.0,0.0,0.0
2100,Simone Perilli,IT ITA,GK,Hellas Verona,Serie A,31.0,1995.0,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,7.0,2.33,15.0,8.0,53.3,0.0,1.0,2.0,1.0,33.3,0.0,0.0,0.0,0,0,,0.0,0.0,,,90,7.9,90.0,3,0,,35,0.33,1,7,-6,-2.0,-1.14,0,0,0,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2101,Mattia Perin,IT ITA,GK,Juventus,Serie A,33.0,1992.0,9,9,765,8.5,0,0,0,0,0,0,0,0,0.0,9.0,1.06,22.0,13.0,59.1,4.0,3.0,2.0,3.0,33.3,0.0,0.0,0.0,0,0,,0.0,0.0,,,85,22.4,85.0,8,0,,25,1.67,15,9,6,0.71,-0.01,0,0,2,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.23529411764705882,0.0,0.0,0.0
2103,Lucas Perri,BR BRA,GK,Leeds United,Premier League,28.0,1997.0,16,16,1440,16.0,0,0,0,0,0,0,2,0,0.0,29.0,1.81,63.0,38.0,60.3,4.0,6.0,6.0,3.0,18.8,4.0,0.0,0.0,0,0,,0.0,0.0,,,90,42.1,90.0,16,0,,18,1.13,23,29,-6,-0.37,-0.33,0,1,3,0,0,0,0,0,GK,0.0,0.0,0.0,0.0625,0.1875,0.0,0.0,0.0
2106,Massimo Pessina,IT ITA,GK,Bologna,Serie A,18.0,2007.0,4,3,353,3.9,0,0,0,0,0,0,0,0,0.0,2.0,0.51,9.0,7.0,77.8,2.0,1.0,0.0,3.0,100.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,88,10.3,90.0,3,1,83.0,33,2.5,7,2,5,1.27,1.33,0,0,1,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.25641025641025644,0.0,0.0,0.0
2109,Đorđe Petrović,RS SRB,GK,Bournemouth,Premier League,26.0,1999.0,38,38,3420,38.0,0,0,0,0,0,0,3,0,0.0,54.0,1.42,157.0,109.0,69.4,13.0,18.0,7.0,11.0,28.9,6.0,0.0,0.0,0,0,,0.0,0.0,,,90,100.0,90.0,38,0,,0,1.5,58,54,4,0.11,,0,0,2,0,0,0,0,1,GK,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0
2117,Jordan Pickford,ENG ENG,GK,Everton,Premier League,32.0,1994.0,38,38,3420,38.0,0,0,0,0,0,0,4,0,0.0,50.0,1.32,145.0,99.0,67.6,13.0,10.0,15.0,11.0,28.9,3.0,1.0,0.0,0,0,,0.0,0.0,,,90,100.0,90.0,38,0,,0,1.29,47,50,-3,-0.08,,0,1,6,0,0,0,1,0,GK,0.0,0.0,0.0,0.02631578947368421,0.15789473684210525,0.0,0.02631578947368421,0.0
2137,Oumar Pona,FR FRA,GK,Angers,Ligue 1,19.0,2006.0,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,7.0,3.5,13.0,6.0,46.2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,90,5.9,90.0,2,0,,11,0.0,1,7,-6,-3.0,-2.59,0,0,2,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2139,Nick Pope,ENG ENG,GK,Newcastle United,Premier League,34.0,1992.0,27,27,2416,26.8,0,0,0,0,0,0,2,0,0.0,38.0,1.42,125.0,89.0,71.2,10.0,5.0,12.0,7.0,25.9,2.0,0.0,0.0,1,1,100.0,0.04,0.04,0.0,0.0,89,70.6,89.0,26,0,,6,1.3,37,38,-1,-0.04,0.05,0,1,2,0,0,0,1,0,GK,0.0,0.0,0.0,0.03731343283582089,0.07462686567164178,0.0,0.03731343283582089,0.0
2153,Ivan Provedel,IT ITA,GK,Lazio,Serie A,32.0,1994.0,27,27,2430,27.0,0,0,0,0,0,0,1,0,0.0,27.0,1.0,112.0,87.0,78.6,8.0,10.0,9.0,12.0,44.4,3.0,1.0,0.0,0,0,,0.0,0.0,,,90,71.1,90.0,27,0,,0,1.26,26,27,-1,-0.04,-0.22,0,0,2,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.07407407407407407,0.0,0.0,0.0
2164,Matheo Raab,DE GER,GK,Union Berlin,Bundesliga,27.0,1998.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,6.0,6.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,90,2.9,90.0,1,0,,24,3.0,1,0,1,1.0,1.45,0,0,0,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2169,Ionuț Radu,RO ROU,GK,Celta Vigo,La Liga,28.0,1997.0,38,38,3420,38.0,0,0,0,0,0,0,2,0,0.0,48.0,1.26,151.0,111.0,72.2,14.0,12.0,12.0,10.0,26.3,6.0,2.0,3.0,0,0,,0.0,0.0,,,90,100.0,90.0,38,0,,0,1.42,53,48,5,0.13,,0,0,8,0,0,1,0,0,GK,0.0,0.0,0.0,0.0,0.21052631578947367,0.02631578947368421,0.0,0.0
2174,Diant Ramaj,DE GER,GK,Heidenheim,Bundesliga,24.0,2001.0,31,31,2790,31.0,0,1,1,0,0,0,2,0,0.03,67.0,2.16,162.0,100.0,61.7,5.0,8.0,18.0,1.0,3.2,5.0,0.0,1.0,0,0,,0.0,0.0,,,90,91.2,90.0,31,0,,2,0.74,38,67,-29,-0.94,-0.27,0,2,2,0,0,0,0,0,GK,0.0,0.03225806451612903,0.03225806451612903,0.06451612903225806,0.06451612903225806,0.0,0.0,0.0
2179,Aaron Ramsdale,ENG ENG,GK,Newcastle United,Premier League,28.0,1998.0,12,11,1004,11.2,0,0,0,0,0,0,2,0,0.0,17.0,1.52,38.0,24.0,63.2,4.0,2.0,5.0,1.0,9.1,3.0,0.0,0.0,0,0,,0.0,0.0,,,84,29.4,90.0,11,1,14.0,26,1.17,16,17,-1,-0.09,-0.05,0,0,1,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.08928571428571429,0.0,0.0,0.0
2194,Federico Ravaglia,IT ITA,GK,Bologna,Serie A,26.0,1999.0,17,16,1470,16.3,0,0,0,0,0,0,4,0,0.0,29.0,1.78,79.0,52.0,65.8,4.0,3.0,9.0,2.0,12.5,2.0,0.0,0.0,0,0,,0.0,0.0,,,86,43.0,90.0,16,1,30.0,20,0.88,16,29,-13,-0.8,-1.53,0,2,3,0,0,0,1,0,GK,0.0,0.0,0.0,0.12269938650306748,0.18404907975460122,0.0,0.06134969325153374,0.0
2195,David Raya,ES ESP,GK,Arsenal,Premier League,30.0,1995.0,37,37,3330,37.0,0,0,0,0,0,0,1,0,0.0,26.0,0.7,86.0,59.0,69.8,25.0,7.0,5.0,19.0,51.4,0.0,0.0,0.0,0,0,,0.0,0.0,,,90,97.4,90.0,37,0,,0,2.22,69,26,43,1.16,0.16,0,0,14,0,1,1,1,0,GK,0.0,0.0,0.0,0.0,0.3783783783783784,0.02702702702702703,0.02702702702702703,0.02702702702702703
2207,Álex Remiro,ES ESP,GK,Real Sociedad,La Liga,31.0,1995.0,37,37,3330,37.0,0,0,0,0,0,0,1,0,0.0,60.0,1.62,154.0,99.0,64.3,11.0,12.0,14.0,3.0,8.1,5.0,0.0,0.0,0,0,,0.0,0.0,,,90,97.4,90.0,37,0,,0,1.22,58,60,-2,-0.05,-0.05,0,0,7,1,0,1,1,1,GK,0.0,0.0,0.0,0.0,0.1891891891891892,0.02702702702702703,0.02702702702702703,0.0
2209,Guillaume Restes,FR FRA,GK,Toulouse,Ligue 1,21.0,2005.0,33,33,2939,32.7,0,0,0,0,0,0,3,0,0.0,45.0,1.38,124.0,84.0,67.7,12.0,8.0,13.0,9.0,27.3,5.0,0.0,0.0,0,0,,0.0,0.0,,,89,99.0,89.0,32,0,,0,1.29,46,45,1,0.03,0.03,0,0,8,0,0,1,0,0,GK,0.0,0.0,0.0,0.0,0.24464831804281342,0.030581039755351678,0.0,0.0
2225,Lasse Rieß,DE GER,GK,Mainz 05,Bundesliga,24.0,2001.0,4,3,292,3.2,0,0,0,0,0,0,0,0,0.0,12.0,3.7,26.0,15.0,57.7,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0,0,,0.0,0.0,,,73,9.5,90.0,3,1,22.0,26,0.0,3,12,-9,-2.77,-2.77,0,0,1,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.3125,0.0,0.0,0.0
2227,Filippo Rinaldi,IT ITA,GK,Parma,Serie A,23.0,2002.0,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,4.0,4.0,100.0,0.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,90,2.6,90.0,1,0,,35,1.0,0,0,0,0.0,0.49,0,0,0,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2231,Robin Risser,FR FRA,GK,Lens,Ligue 1,21.0,2004.0,33,33,2970,33.0,0,1,1,0,0,0,2,0,0.03,35.0,1.06,106.0,76.0,69.8,21.0,4.0,8.0,11.0,33.3,3.0,2.0,1.0,0,0,,0.0,0.0,,,90,97.1,90.0,33,0,,1,2.03,62,35,27,0.82,-3.18,0,0,5,0,0,0,0,0,GK,0.0,0.030303030303030304,0.030303030303030304,0.0,0.15151515151515152,0.0,0.0,0.0
2254,Robin Roefs,NL NED,GK,Sunderland,Premier League,23.0,2003.0,35,35,3150,35.0,0,0,0,0,0,0,4,0,0.0,46.0,1.31,151.0,108.0,70.9,12.0,12.0,11.0,10.0,28.6,2.0,1.0,0.0,0,0,,0.0,0.0,,,90,92.1,90.0,35,0,,0,1.37,39,46,-7,-0.2,-0.53,0,0,14,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0
2260,Leo Román,ES ESP,GK,Mallorca,La Liga,25.0,2000.0,33,33,2970,33.0,0,0,0,0,0,0,4,0,0.0,50.0,1.52,142.0,99.0,69.0,10.0,7.0,16.0,4.0,12.1,6.0,1.0,1.0,0,0,,0.0,0.0,,,90,86.8,90.0,33,0,,0,1.12,43,50,-7,-0.21,0.39,0,1,2,0,0,1,1,0,GK,0.0,0.0,0.0,0.030303030303030304,0.06060606060606061,0.030303030303030304,0.030303030303030304,0.0
2292,Gerónimo Rulli,AR ARG,GK,Marseille,Ligue 1,34.0,1992.0,29,29,2610,29.0,0,0,0,0,0,0,3,0,0.0,34.0,1.17,105.0,76.0,72.4,15.0,5.0,9.0,8.0,27.6,5.0,0.0,1.0,1,0,0.0,0.03,0.0,0.0,,90,85.3,90.0,29,0,,3,1.77,53,35,18,0.62,0.62,0,1,14,0,0,0,0,0,GK,0.0,0.0,0.0,0.034482758620689655,0.4827586206896552,0.0,0.0,0.0
2296,Mathew Ryan,AU AUS,GK,Levante,La Liga,34.0,1992.0,36,36,3240,36.0,0,0,0,0,0,0,4,0,0.0,56.0,1.56,176.0,124.0,69.9,11.0,9.0,16.0,9.0,25.0,3.0,1.0,0.0,2,0,0.0,0.06,0.0,0.0,,90,94.7,90.0,36,0,,0,1.17,44,56,-12,-0.33,0.67,0,0,1,0,0,1,1,0,GK,0.0,0.0,0.0,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0
2298,Frederik Rønnow,DK DEN,GK,Union Berlin,Bundesliga,33.0,1992.0,30,30,2640,29.3,0,0,0,0,0,0,2,0,0.0,54.0,1.84,125.0,75.0,61.6,7.0,8.0,15.0,5.0,16.7,6.0,0.0,0.0,0,0,,0.0,0.0,,,88,86.3,88.0,29,0,,0,0.97,33,54,-21,-0.72,-2.22,0,1,3,0,0,1,1,0,GK,0.0,0.0,0.0,0.034129692832764506,0.10238907849829351,0.034129692832764506,0.034129692832764506,0.0
2300,José Sá,PT POR,GK,Wolves,Premier League,33.0,1993.0,23,23,2070,23.0,0,0,0,0,0,0,2,0,0.0,37.0,1.61,99.0,65.0,65.7,3.0,8.0,12.0,4.0,17.4,3.0,0.0,0.0,0,0,,0.0,0.0,,,90,60.5,90.0,23,0,,11,0.74,20,37,-17,-0.74,0.86,0,0,6,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.2608695652173913,0.0,0.0,0.0
2310,Matvei Safonov,RU RUS,GK,Paris Saint-Germain,Ligue 1,27.0,1999.0,15,15,1350,15.0,0,0,0,0,0,0,0,0,0.0,14.0,0.93,53.0,40.0,73.6,11.0,0.0,4.0,8.0,53.3,0.0,1.0,0.0,0,0,,0.0,0.0,,,90,44.1,90.0,15,0,,15,2.2,38,14,24,1.6,0.49,0,0,1,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0
2329,Brice Samba,FR FRA,GK,Rennes,Ligue 1,32.0,1994.0,32,32,2880,32.0,0,0,0,0,0,0,5,0,0.0,44.0,1.37,123.0,84.0,67.5,17.0,8.0,7.0,10.0,31.3,4.0,2.0,0.0,0,0,,0.0,0.0,,,90,94.1,90.0,32,0,,0,1.84,57,44,13,0.41,2.41,0,1,7,0,0,0,1,0,GK,0.0,0.0,0.0,0.03125,0.21875,0.0,0.03125,0.0
2339,Robert Sánchez,ES ESP,GK,Chelsea,Premier League,28.0,1997.0,35,35,3039,33.8,0,1,1,0,0,0,3,1,0.03,49.0,1.45,145.0,97.0,67.6,13.0,8.0,14.0,9.0,25.7,2.0,0.0,0.0,0,0,,0.0,0.0,,,87,88.9,87.0,33,0,,1,1.34,50,47,3,0.09,-0.62,0,2,13,0,0,1,0,0,GK,0.0,0.02958579881656805,0.02958579881656805,0.0591715976331361,0.38461538461538464,0.02958579881656805,0.0,0.0
2360,Kauã Santos,BR BRA,GK,Eintracht Frankfurt,Bundesliga,23.0,2003.0,13,13,1084,12.0,0,0,0,0,0,0,0,0,0.0,32.0,2.66,68.0,37.0,54.4,3.0,4.0,6.0,2.0,15.4,1.0,0.0,0.0,0,0,,0.0,0.0,,,83,35.4,83.0,12,0,,12,1.0,27,32,-5,-0.42,-0.46,0,0,3,0,0,0,1,0,GK,0.0,0.0,0.0,0.0,0.25,0.0,0.08333333333333333,0.0
2375,Razvan Sava,RO ROU,GK,Udinese,Serie A,23.0,2002.0,7,6,620,6.9,0,0,0,0,0,0,1,0,0.0,14.0,2.03,28.0,14.0,50.0,2.0,2.0,2.0,1.0,16.7,0.0,0.0,0.0,0,0,,0.0,0.0,,,89,18.1,90.0,6,1,80.0,27,1.14,7,14,-7,-1.02,-1.14,0,0,0,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2399,Marvin Schwäbe,DE GER,GK,Köln,Bundesliga,31.0,1995.0,34,34,3060,34.0,0,0,0,0,0,0,2,0,0.0,63.0,1.85,148.0,92.0,60.8,7.0,11.0,16.0,3.0,8.8,5.0,2.0,0.0,0,0,,0.0,0.0,,,90,100.0,90.0,34,0,,0,0.94,49,63,-14,-0.41,,0,1,4,0,0,3,1,0,GK,0.0,0.0,0.0,0.029411764705882353,0.11764705882352941,0.08823529411764706,0.029411764705882353,0.0
2402,Simone Scuffet,IT ITA,GK,Pisa,Serie A,29.0,1996.0,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,15.0,2.14,26.0,14.0,53.8,0.0,3.0,4.0,1.0,14.3,3.0,0.0,0.0,0,0,,0.0,0.0,,,90,18.4,90.0,7,0,,25,0.43,6,15,-9,-1.29,-0.12,0,0,4,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0
2410,Matz Sels,BE BEL,GK,Nottingham Forest,Premier League,34.0,1992.0,31,30,2668,29.6,0,0,0,0,0,0,2,0,0.0,39.0,1.32,127.0,93.0,72.4,10.0,10.0,10.0,7.0,23.3,4.0,1.0,0.0,0,0,,0.0,0.0,,,86,78.0,89.0,29,1,13.0,3,1.29,42,39,3,0.1,0.82,0,0,4,0,0,0,1,0,GK,0.0,0.0,0.0,0.0,0.13513513513513511,0.0,0.03378378378378378,0.0
2413,Adrian Šemper,HR CRO,GK,Pisa,Serie A,28.0,1998.0,25,25,2250,25.0,0,0,0,0,0,0,0,0,0.0,42.0,1.68,122.0,82.0,67.2,1.0,9.0,15.0,4.0,16.0,2.0,0.0,0.0,0,0,,0.0,0.0,,,90,65.8,90.0,25,0,,8,0.48,16,42,-26,-1.04,0.42,0,0,6,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0
2430,Mathys Silestrie,FR FRA,GK,Rennes,Ligue 1,20.0,2005.0,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,6.0,3.0,14.0,8.0,57.1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,90,5.9,90.0,2,0,,29,0.0,2,6,-4,-2.0,-2.41,0,0,0,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
